eval/episode_reward_ctrl,eval/episode_reward_dist,training/buffer_current_size,_step,training/critic_loss,training/walltime,training/actor_loss,training/alpha_loss,training/sps,training/alpha,eval/episode_reward,eval/walltime,eval/epoch_eval_time,eval/sps,_runtime,_timestamp,eval/avg_episode_length,seed,rl_algorithm,environment
-596.058837890625,-169.65687561035156,,0.0,,,,,,,-765.7156982421875,8.954171895980835,8.954171895980835,14295.012591555676,14.4455246925354,1694042574.9541116,1000,4,sac,reacher
-53.47346878051758,-67.85315704345703,215040.015625,421760.0,1.361441135406494,77.01216673851013,214.87242126464844,0.0345240384340286,5816.975086130223,0.2560598254203796,-121.3266143798828,9.669053792953491,0.7148818969726562,179050.5544231118,92.17581748962402,1694042652.6844044,1000,4,sac,reacher
-58.90336608886719,-62.638427734375,628608.0,835328.0,2.1552722454071045,136.71688270568848,371.8821105957031,1.077654269465711e-05,6926.890000236363,0.2478844076395034,-121.5417938232422,10.391475439071655,0.7224216461181641,177181.84482399005,152.60673332214355,1694042713.1153202,1000,4,sac,reacher
-55.29523086547852,-50.74443054199219,993630.5625,1248896.0,1.837684154510498,196.16634845733645,383.0753479003906,6.0039470554329455e-05,6956.631060869304,0.2398590445518493,-106.0396728515625,11.151745796203612,0.760270357131958,168361.16099918308,212.8201286792755,1694042773.3287156,1000,4,sac,reacher
-51.09818649291992,-38.57524871826172,1048576.0,1662464.0,0.4975867867469787,255.34537053108212,334.4543762207031,-2.815229345287662e-05,6988.422341359979,0.2319773584604263,-89.67343139648438,11.8771710395813,0.7254252433776855,176448.2297362763,272.7282645702362,1694042833.2368517,1000,4,sac,reacher
-50.23756408691406,-33.79311752319336,1048576.0,2076032.0,0.3076445460319519,314.52837347984314,288.6629638671875,5.921253887208877e-06,6987.952273358887,0.2335297167301178,-84.03069305419922,12.630642175674438,0.7534711360931396,169880.42921418214,332.66886472702026,1694042893.1774516,1000,4,sac,reacher
-67.18533325195312,-78.51776123046875,1048576.0,2489600.0,2.888947010040283,376.4011487960816,260.6151123046875,-0.0001765180786605,6684.167598531171,0.2374078631401062,-145.70309448242188,13.349185943603516,0.7185437679290771,178138.06995906486,395.26437854766846,1694042955.7729654,1000,4,sac,reacher
-84.87338256835938,-41.825721740722656,1048576.0,2903168.0,20.77680206298828,434.8577992916107,338.6782531738281,-8.382896339753643e-05,7074.780995733413,0.3559683859348297,-126.69908905029295,14.1190083026886,0.769822359085083,166272.1256266513,454.49476766586304,1694043015.0033543,1000,4,sac,reacher
-78.70777893066406,-38.83992004394531,1048576.0,3316736.0,15.484676361083984,494.0226695537567,410.8167114257813,0.0001692148071015,6990.093921740636,0.3221264481544494,-117.54769897460938,14.859277248382568,0.7402689456939697,172910.13049318935,514.4037392139435,1694043074.912326,1000,4,sac,reacher
-63.35203552246094,-33.38614654541016,1048576.0,3730304.0,7.984522819519043,552.8739094734192,415.1702575683594,0.0001643620780669,7027.345567647505,0.2780203819274902,-96.7381820678711,15.546423435211182,0.6871461868286133,186277.6836334617,573.9459416866302,1694043134.4545286,1000,4,sac,reacher
-54.53608703613281,-30.24588203430176,1048576.0,4143872.0,1.398089051246643,612.139575958252,348.4275207519531,4.0778249967843294e-05,6978.205502942249,0.2472282797098159,-84.78196716308594,16.28394651412964,0.737523078918457,173553.89093410608,633.9530148506165,1694043194.4616015,1000,4,sac,reacher
-64.6192626953125,-32.58880615234375,1048576.0,4557440.0,0.9144892692565918,674.2042536735535,301.2767944335937,2.848477743100375e-05,6663.500322954845,0.2466126680374145,-97.20807647705078,16.997649431228638,0.713702917098999,179346.33155246708,696.7353591918945,1694043257.243946,1000,4,sac,reacher
-55.343048095703125,-25.336576461791992,1048576.0,4971008.0,0.7970341444015503,734.6946682929993,273.2915954589844,5.229233011050383e-06,6836.917924960803,0.2405212521553039,-80.67962646484375,17.691242218017578,0.6935927867889404,184546.3252185612,757.923280954361,1694043318.4318678,1000,4,sac,reacher
-52.966556549072266,-25.092018127441406,1048576.0,5384576.0,0.3261263370513916,793.8271870613098,253.7794647216797,1.1366164471837692e-05,6993.918213097215,0.2394964843988418,-78.0585708618164,18.44335246086121,0.7521102428436279,170187.81650419917,817.8118906021118,1694043378.3204775,1000,4,sac,reacher
-60.09748077392578,-24.824138641357425,1048576.0,5798144.0,0.2406411319971084,856.7972545623779,234.76544189453125,1.934429928951431e-05,6567.6918639635405,0.2365365028381347,-84.92161560058594,19.18922185897827,0.7458693981170654,171611.81343963678,881.532107591629,1694043442.0406945,1000,4,sac,reacher
-65.16697692871094,-22.023826599121094,1048576.0,6211712.0,0.1830175220966339,917.8196451663972,223.0018310546875,9.916773706208916e-06,6777.315603442794,0.2355351448059082,-87.1907958984375,19.90465188026428,0.7154300212860107,178913.3754408509,943.273743391037,1694043503.7823305,1000,4,sac,reacher
-94.12430572509766,-24.46002960205078,1048576.0,6625280.0,0.145598366856575,978.8710925579072,214.9282684326172,5.207100457482738e-06,6774.090012115125,0.2337716817855835,-118.58435821533205,20.654643774032596,0.7499918937683105,170668.51130465965,1005.079431772232,1694043565.588019,1000,4,sac,reacher
-113.2658233642578,-52.92544937133789,1048576.0,7038848.0,96.29060363769533,1039.358895778656,255.4851531982422,-0.0024767632130533,6837.213090557988,0.4518814980983734,-166.1912841796875,21.417124032974243,0.7624802589416504,167873.19868145642,1066.3332254886627,1694043626.8418124,1000,4,sac,reacher
-99.31100463867188,-41.45395278930664,1048576.0,7452416.0,205.2751922607422,1098.6479580402374,642.3340454101562,0.0008275143336504,6975.451866237172,0.9843040108680724,-140.76495361328125,22.1373553276062,0.720231294631958,177720.68633231035,1126.3461563587189,1694043686.8547432,1000,4,sac,reacher
-99.94889068603516,-65.37091064453125,1048576.0,7865984.0,114.56184387207033,1160.2193355560305,789.8666381835938,0.0008457751246169,6716.887240242777,0.6736721992492676,-165.31982421875,22.846473693847656,0.7091183662414551,180505.83103416045,1188.6307084560394,1694043749.139295,1000,4,sac,reacher
